0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275
CLICK_FLG,OPEN_FLG,ADDR_VER_CD,AQI,ASIAN_CD,AUTO_IN_MARKET,BIRD_QTY,BUYER_DM_BOOKS,BUYER_DM_COLLECT_SPC_FOOD,BUYER_DM_CRAFTS_HOBBI,BUYER_DM_FEMALE_ORIEN,BUYER_DM_GARDEN_FARM,BUYER_DM_GENERAL,BUYER_DM_GIFT_GADGET,BUYER_DM_MALE_ORIEN,BUYER_DM_UPSCALE,BUYER_MAG_CULINARY_INTERS,BUYER_MAG_FAMILY_GENERAL,BUYER_MAG_FEMALE_ORIENTED,BUYER_MAG_GARDEN_FARMING,BUYER_MAG_HEALTH_FITNESS,BUYER_MAG_MALE_SPORT_ORIENTED,BUYER_MAG_RELIGIOUS,CATS_QTY,CEN_2000_MATCH_LEVEL,CLUB_MEMBER_CD,COUNTRY_OF_ORIGIN,DECEASED_INDICATOR,DM_RESPONDER_HH,DM_RESPONDER_INDIV,DMR_CONTRIB_CAT_GENERAL,DMR_CONTRIB_CAT_HEALTH_INST,DMR_CONTRIB_CAT_POLITICAL,DMR_CONTRIB_CAT_RELIGIOUS,DMR_DO_IT_YOURSELFERS,DMR_MISCELLANEOUS,DMR_NEWS_FINANCIAL,DMR_ODD_ENDS,DMR_PHOTOGRAPHY,DMR_SWEEPSTAKES,DOG_QTY,DWELLING_TYPE,DWELLING_UNIT_SIZE,EST_LOAN_VALUE_RATIO,ETECH_GROUP,ETHNIC_GROUP_CODE,ETHNIC_INSIGHT_MTCH_FLG,ETHNICITY_DETAIL,EXPERIAN_INCOME_CD,EXPERIAN_INCOME_CD_V4,GNDR_OF_CHLDRN_0_3,GNDR_OF_CHLDRN_10_12,GNDR_OF_CHLDRN_13_18,GNDR_OF_CHLDRN_4_6,GNDR_OF_CHLDRN_7_9,HH_INCOME,HHLD_DM_PURC_CD,HOME_BUSINESS_IND,I1_BUSINESS_OWNER_FLG,I1_EXACT_AGE,I1_GNDR_CODE,I1_INDIV_HHLD_STATUS_CODE,INDIV_EDUCATION,INDIV_EDUCATION_CONF_LVL,INDIV_MARITAL_STATUS,INDIV_MARITAL_STATUS_CONF_LVL,INS_MATCH_TYPE,LANGUAGE,LENGTH_OF_RESIDENCE,MEDIAN_HOUSING_VALUE,MEDIAN_LEN_OF_RESIDENCE,MM_INCOME_CD,MOSAIC_HH,MULTI_BUYER_INDIV,NEW_CAR_MODEL,NUM_OF_ADULTS_IN_HHLD,NUMBER_OF_CHLDRN_18_OR_LESS,OCCUP_DETAIL,OCCUP_MIX_PCT,PCT_CHLDRN,PCT_DEROG_TRADES,PCT_HOUSEHOLDS_BLACK,PCT_OWNER_OCCUPIED,PCT_RENTER_OCCUPIED,PCT_TRADES_NOT_DEROG,PCT_WHITE,PHONE_TYPE_CD,PRES_OF_CHLDRN_0_3,PRES_OF_CHLDRN_10_12,PRES_OF_CHLDRN_13_18,PRES_OF_CHLDRN_4_6,PRES_OF_CHLDRN_7_9,PRESENCE_OF_CHLDRN,PRIM_FEM_EDUC_CD,PRIM_FEM_OCC_CD,PRIM_MALE_EDUC_CD,PRIM_MALE_OCC_CD,RECIPIENT_RELIABILITY_CD,RELIGION,SCS_MATCH_TYPE,TRW_INCOME_CD,TRW_INCOME_CD_V4,USED_CAR_CD,Y_OWNS_HOME,Y_PROBABLE_HOMEOWNER,Y_PROBABLE_RENTER,Y_RENTER,YRS_SCHOOLING_CD,Z_CREDIT_CARD,age_hh_mem1,age_hh_mem2,age_hh_mem3,age_hh_mem4,age_hh_mem5,age_hh_mem6,age_hh_mem7,age_hh_mem8,gender_hh_mem1,gender_hh_mem2,gender_hh_mem3,gender_hh_mem4,gender_hh_mem5,gender_hh_mem6,gender_hh_mem7,gender_hh_mem8,statcd_hh_mem1,statcd_hh_mem2,statcd_hh_mem3,statcd_hh_mem4,statcd_hh_mem5,statcd_hh_mem6,statcd_hh_mem7,statcd_hh_mem8,trait_cd1,trait_cd2,trait_cd3,trait_cd4,trait_cd5,trait_cd6,trait_cd7,trait_cd8,trait_cd9,trait_cd10,trait_cd11,trait_cd12,trait_cd13,trait_cd14,trait_cd15,trait_cd16,trait_cd17,trait_cd18,trait_cd19,trait_cd20,trait_cd21,trait_cd22,trait_cd23,trait_cd24,trait_cd25,trait_cd26,trait_cd27,trait_cd28,trait_cd29,trait_cd30,trait_cd31,trait_cd32,trait_cd33,trait_cd34,trait_cd35,trait_cd36,trait_cd37,trait_cd38,trait_cd39,trait_cd40,trait_cd41,trait_cd42,trait_cd43,trait_cd44,trait_cd45,trait_cd46,trait_cd47,trait_cd48,trait_cd49,trait_cd50,trait_cd51,trait_cd52,trait_cd53,trait_cd54,trait_cd55,trait_cd56,trait_cd57,trait_cd58,trait_cd59,trait_cd60,trait_cd61,trait_cd62,trait_cd63,trait_cd64,trait_typ_cd1,trait_typ_cd2,trait_typ_cd3,trait_typ_cd4,trait_typ_cd5,trait_typ_cd6,trait_typ_cd7,trait_typ_cd8,trait_typ_cd9,trait_typ_cd10,trait_typ_cd11,trait_typ_cd12,trait_typ_cd13,trait_typ_cd14,trait_typ_cd15,trait_typ_cd16,trait_typ_cd17,trait_typ_cd18,trait_typ_cd19,trait_typ_cd20,trait_typ_cd21,trait_typ_cd22,trait_typ_cd23,trait_typ_cd24,trait_typ_cd25,trait_typ_cd26,trait_typ_cd27,trait_typ_cd28,trait_typ_cd29,trait_typ_cd30,trait_typ_cd31,trait_typ_cd32,trait_typ_cd33,trait_typ_cd34,trait_typ_cd35,trait_typ_cd36,trait_typ_cd37,trait_typ_cd38,trait_typ_cd39,trait_typ_cd40,trait_typ_cd41,trait_typ_cd42,trait_typ_cd43,trait_typ_cd44,trait_typ_cd45,trait_typ_cd46,trait_typ_cd47,trait_typ_cd48,trait_typ_cd49,trait_typ_cd50,trait_typ_cd51,trait_typ_cd52,trait_typ_cd53,trait_typ_cd54,trait_typ_cd55,trait_typ_cd56,trait_typ_cd57,trait_typ_cd58,trait_typ_cd59,trait_typ_cd60,trait_typ_cd61,trait_typ_cd62,trait_typ_cd63,trait_typ_cd64,CITY,POSTAL_CD,STATE_PROVINCE,new_id,list_auth_cd,list_auth_flg,new_list_id,list_new_brand_cd,list_new_ed_cd,new_mailing_id,Mailing_Category,Mailed_Date,,,
N,N,,G,,8,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,B,U,0,,M,Y,0,0,0,0,0,1,1,1,0,2,0,A,C,0,J,18,Y,66,,A,U,U,U,U,U,34,,U,U,84,M,H,1,1,M,5,I,1,0,67,3,,E06,Y,7,3,0,5,0,37,78.09,30,63,36,13.27,59,,N,N,N,N,N,N,U,UU,U,7,6,J,4,,J,4,U,,Y,U,0,Y,,24,,,,,,,F,F,,,,,,,U,Y,,,,,,,17,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH LAUDERDALE,330685141,FL,190815,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
N,N,,E,,4,0,2,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,B,U,0,,M,U,0,0,0,0,0,0,0,0,0,0,0,S,A,1044,K,10,Y,10,,E,U,U,F,U,U,125,,U,U,58,M,H,4,1,M,1,I,1,18,371,8,,A02,Y,1,6,1,0,0,51,11.64,5,94,5,82.67,72,,N,U,Y,N,N,Y,U,UU,U,1,6,P,4,,N,9,Y,,U,U,0,Y,,,31,28,59,,,,F,F,F,F,F,,,,U,U,U,U,W,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIRFAX,220307263,VA,160033,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
N,N,,E,,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,B,,0,,M,U,0,0,0,0,1,1,0,2,0,1,0,A,H,1087,K,8,Y,1,,F,U,U,U,U,U,71,,U,U,62,M,H,4,5,M,5,I,1,5,293,2,,A04,Y,3,7,0,0,0,5,4.73,7,63,36,87.5,90,,N,N,N,N,N,N,0,0,0,0,1,P,4,,O,7,Y,,U,U,0,Y,,,,,61,,,,F,U,F,U,F,M,,,U,U,U,U,U,Y,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATLANTA,303093562,GA,182292,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
N,N,,E,,7,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,B,U,0,,M,Y,0,2,0,0,0,1,0,2,0,2,0,S,A,3028,G,27,Y,3,,J,U,U,U,U,U,125,,U,U,57,M,H,3,5,M,1,I,1,18,443,14,,A01,Y,2,4,0,22,0,40,0,1,92,7,97.27,86,,N,N,N,N,N,N,4,UU,U,UU,1,P,4,,R,9,Y,,U,U,0,Y,60,25,23,,,,,,F,F,M,,,,,,W,Y,Y,,,,,,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETHESDA,208176164,MD,152811,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
N,N,,E,,5,0,4,0,0,1,0,1,1,1,3,1,1,0,2,4,0,0,6,B,U,,,M,Y,0,0,0,0,1,2,0,0,0,0,0,S,A,1024,,,,,,E,U,U,U,U,U,44,,U,U,52,M,H,3,1,M,1,I,,22,101,8,,B03,Y,2,5,0,2,0,32,0,2,84,15,99,93,,N,N,N,N,N,N,U,3,U,4,1,,4,,N,9,Y,,U,U,0,Y,,52,52,23,,,,,M,F,F,M,,,,,U,U,W,Y,,,,,3,12,14,15,16,17,21,39,69,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INMAN,293498619,SC,176058,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
N,N,,E,,8,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,B,U,0,,M,U,0,0,1,0,1,0,2,0,0,0,0,S,A,1024,K,8,Y,1,,K,U,U,U,U,U,57,,U,U,63,M,H,2,1,M,5,I,1,8,191,4,,A02,Y,3,3,0,31,0,21,0,1,56,43,99,94,,N,N,N,N,N,N,U,31,U,31,1,P,4,,R,7,Y,,U,U,0,Y,,64,,,,,,,F,F,,,,,,,U,U,,,,,,,1,1,3,3,4,4,5,6,7,10,11,12,13,14,15,16,17,19,21,28,29,30,35,37,41,43,69,75,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,5,1,3,5,1,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIRGINIA BEACH,234552122,VA,162398,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
N,N,,E,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,,0,,U,U,0,0,0,0,0,0,0,0,0,0,0,S,A,1098,K,28,Y,2,,H,U,U,U,U,U,59,,U,U,44,M,H,2,5,M,1,I,1,5,125,4,,A07,,4,3,0,0,0,45,21.5,8,90,9,74,87,,N,N,N,N,N,U,0,0,0,0,1,P,4,,Q,6,Y,,U,U,0,Y,,46,,,,,,,U,F,,,,,,,U,W,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARNER,275297480,NC,164596,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
N,N,,E,,9,0,1,0,0,0,0,1,0,0,0,0,4,1,0,1,1,0,0,B,U,0,,M,Y,0,0,1,0,0,1,0,0,0,1,0,S,A,1005,J,18,Y,66,,E,U,U,U,U,U,53,,U,U,64,M,H,3,5,M,1,I,1,26,131,5,,B03,Y,3,3,0,2,0,34,33.4,29,65,34,58.04,59,,N,N,N,N,N,N,U,UU,2,UU,1,J,4,,N,7,Y,,U,U,0,Y,64,29,63,,,,,,M,M,F,,,,,,H,U,W,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLUMBIA,210441910,MD,154216,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
N,N,,,,,0,2,0,1,2,0,2,3,1,1,0,2,0,0,2,0,0,0,,,,,M,U,0,4,0,0,0,1,0,2,0,1,0,S,A,,,8,,,I,,U,U,M,U,U,84,,,,48,F,W,4,0,M,0,I,,4,168,7,,,Y,,2,1,0,0,55,,2,97,2,,94,,N,U,Y,N,U,Y,0,0,0,0,,P,,R,,,Y,,U,U,0,,53,,,,,,,,M,,,,,,,,H,,,,,,,,1,1,2,2,3,3,3,4,4,5,6,6,7,10,13,14,15,16,17,20,21,26,28,29,30,36,37,39,40,41,43,44,45,65,69,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,1,3,5,1,3,5,1,3,1,5,5,5,5,1,5,5,5,5,5,3,3,3,3,5,3,3,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HENDERSONVLLE,287398446,NC,170075,,,,,,1036,Third Party - Merch,"Mon, 09/20/10 01:04 PM",,,
